D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,rank
0:0,12:11,0:0,0:2,0:0,0:0,0:1,6:2,0:0,0:1,2:0,0:0,22:7,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,2:0,0:0,1:1,0:0,4655
0:0,0:1,0:2,29:9,6:3,0:0,0:1,2:2,0:0,3:2,2:1,1:0,4:4,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4653
8:1,17:5,1:0,3:1,0:0,0:0,0:0,8:4,0:0,7:1,1:0,1:1,0:2,0:0,0:0,0:0,0:0,11:4,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4653
13:7,1:2,4:3,5:0,0:1,5:5,6:5,3:1,0:0,4:2,1:1,4:2,1:0,0:0,0:0,1:1,0:0,2:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:3,4652
0:1,9:16,2:1,4:2,15:12,2:3,85:56,40:22,17:19,2:1,8:4,0:1,4:7,0:0,5:1,1:1,4:1,6:9,1:2,0:0,5:1,6:4,3:2,0:0,3:0,0:1,4652
0:0,14:3,0:0,3:0,0:0,0:0,9:3,0:0,1:0,0:0,3:4,0:0,10:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4651
41:30,0:0,2:1,8:6,15:9,0:1,0:0,0:0,0:0,0:0,0:0,1:1,2:1,0:0,0:0,0:0,0:0,1:1,0:1,0:0,0:0,0:0,0:0,1:1,1:0,0:0,4651
0:0,39:21,5:3,3:2,2:0,0:1,13:7,5:7,7:3,0:1,26:17,0:0,1:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,4649
0:0,13:3,0:0,0:1,0:0,0:0,16:8,0:0,0:0,0:0,2:1,0:0,7:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,4647
3:2,0:1,0:1,0:1,2:1,0:1,0:0,0:0,0:0,1:0,0:0,4:0,0:0,0:0,0:1,0:0,1:0,0:0,31:12,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4646
0:0,0:0,8:5,0:0,0:0,13:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4645
0:0,17:6,4:0,1:1,1:0,8:2,2:2,3:3,2:0,0:1,9:2,0:0,1:3,0:0,0:0,0:0,0:0,2:2,0:1,0:0,1:0,1:0,0:0,0:0,0:1,0:0,4644
5:5,1:0,27:13,0:0,0:0,0:0,1:0,0:0,19:7,0:0,0:1,0:0,3:0,1:0,0:0,0:0,0:0,0:0,3:3,0:0,2:0,1:3,0:0,0:0,0:0,0:0,4644
12:9,30:19,17:13,1:1,1:0,1:2,7:5,9:2,3:3,0:1,4:5,0:2,1:1,0:0,1:1,1:0,1:0,18:8,2:4,0:0,0:0,0:1,0:0,0:0,0:1,0:0,4644
6:3,35:18,8:12,5:8,6:2,1:3,17:12,16:14,5:4,3:4,10:10,2:3,12:11,1:1,1:1,5:2,0:1,4:4,12:7,1:1,3:1,2:2,0:1,0:1,1:1,0:0,4644
0:1,31:16,0:0,1:1,0:0,0:0,3:3,0:0,0:0,0:0,0:1,0:0,3:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4642
0:1,43:27,6:6,17:8,1:4,0:0,42:33,20:14,1:2,7:8,21:21,1:0,0:1,21:7,2:0,2:3,0:3,0:0,1:0,5:6,0:1,0:0,1:4,0:0,1:0,0:1,4641
26:23,1:0,1:0,0:1,2:1,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4637
0:0,0:0,39:24,0:1,0:1,3:2,2:0,0:0,0:1,0:0,0:1,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,3:0,1:0,1:1,0:0,0:0,0:0,0:0,4635
4:2,21:26,2:1,0:0,2:2,0:0,3:2,8:6,3:1,0:0,1:1,0:0,3:3,24:14,1:0,2:0,0:0,3:2,2:2,0:0,1:1,2:2,0:0,0:1,0:0,0:0,4634
0:1,2:0,20:10,0:0,0:1,4:2,0:0,0:0,0:0,0:0,0:1,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4633
0:0,0:0,0:0,0:0,0:0,30:20,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4631
0:0,2:6,1:1,14:6,2:2,0:0,6:6,80:66,3:4,11:6,3:5,0:0,13:6,21:14,1:1,1:2,0:0,5:9,6:5,0:0,1:1,0:1,0:0,0:0,0:0,0:0,4631
30:18,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4629
0:0,5:2,0:0,2:4,1:1,0:0,3:1,31:22,1:0,2:1,0:0,0:0,4:1,1:0,0:0,0:0,0:0,4:4,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4628
13:9,1:0,0:1,31:19,1:3,8:3,1:1,0:2,1:1,0:0,0:1,4:1,0:2,0:0,0:0,4:5,0:0,0:0,29:13,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4628
3:1,4:4,5:4,1:1,0:1,0:2,1:1,21:11,1:1,1:1,0:1,0:0,1:1,0:0,0:0,0:0,0:0,4:2,2:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,4626
1:3,0:0,4:1,0:1,0:0,53:43,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:3,0:0,0:0,0:0,0:0,4626
0:1,1:0,1:0,2:2,0:0,0:1,2:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,7:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4625
0:0,12:16,74:38,4:4,1:1,2:2,1:2,6:4,6:2,0:0,2:3,0:1,2:1,0:0,0:0,1:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4607
0:0,0:0,0:1,0:0,0:0,52:34,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,4622
56:40,1:1,5:0,22:18,7:3,0:0,0:1,0:0,0:1,0:1,1:2,1:1,1:1,0:0,0:0,0:0,0:0,0:1,5:6,0:0,0:0,0:1,0:0,0:0,0:0,0:0,4622
7:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4621
0:1,2:0,20:10,0:0,0:1,4:2,0:0,0:0,0:0,0:0,0:1,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4633
0:0,0:0,0:0,0:0,0:0,0:0,59:46,0:0,1:2,0:0,21:15,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4619
6:3,62:34,22:6,2:5,2:2,6:3,21:24,17:20,1:1,1:3,15:13,0:3,10:8,3:3,2:2,1:1,0:2,8:6,2:3,0:0,0:0,0:3,0:2,0:1,2:0,0:0,4619
24:15,0:0,0:0,3:3,1:3,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4618
2:0,9:0,0:0,1:0,0:0,0:0,2:1,0:0,0:0,0:0,1:0,2:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4616
0:0,0:0,0:0,1:1,0:0,0:0,4:3,0:0,0:0,37:31,4:3,0:0,3:1,0:0,8:4,0:0,1:0,3:3,0:0,0:0,0:0,0:0,2:7,0:0,4:2,1:0,4615
9:7,37:29,6:6,17:6,2:1,1:4,2:4,11:14,5:11,0:1,8:4,0:1,3:2,2:1,0:0,7:7,0:0,1:0,1:2,0:0,0:0,1:0,2:0,0:1,0:1,0:0,4615
1:2,7:8,5:2,18:6,1:1,1:0,6:2,8:3,0:1,2:0,3:4,0:1,3:3,0:0,0:1,0:0,0:0,3:2,0:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,4614
1:0,7:2,0:1,2:1,1:1,2:0,5:7,4:3,0:0,1:0,19:11,1:0,5:2,0:0,0:1,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4610
7:4,1:1,20:13,3:1,1:0,7:2,0:0,0:0,1:1,2:1,0:0,3:0,0:1,0:0,0:0,0:1,0:0,0:0,7:2,2:0,0:0,0:1,0:0,0:0,0:0,0:0,4610
0:0,43:21,4:2,5:7,0:1,0:0,6:5,18:9,0:0,10:7,8:5,0:1,4:3,0:0,0:0,0:1,0:0,16:12,1:3,0:0,0:0,0:1,0:0,0:0,1:0,0:0,4687
0:0,0:3,4:2,0:1,0:0,1:1,0:0,1:0,1:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,4568
0:2,23:11,1:0,1:3,1:1,0:1,8:5,2:6,1:1,4:0,3:0,0:1,3:4,0:1,0:0,0:1,0:0,3:4,1:3,0:0,0:0,1:0,0:1,0:0,0:1,0:0,4609
0:0,23:19,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4608
0:0,5:2,22:13,0:2,0:1,0:1,0:1,0:0,2:3,0:0,1:1,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,4608
0:0,12:16,74:38,4:4,1:1,2:2,1:2,6:4,6:2,0:0,2:3,0:1,2:1,0:0,0:0,1:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4607
16:12,3:1,0:1,0:0,4:3,0:0,1:0,88:62,0:0,0:1,0:0,0:0,11:9,11:9,0:1,0:1,0:1,2:2,9:6,0:0,1:3,3:1,0:0,0:2,0:0,0:0,4607
2:2,16:11,2:1,0:0,1:0,1:1,2:1,7:2,0:0,0:1,2:3,0:1,3:2,0:0,0:0,1:0,0:0,0:0,2:1,0:0,0:0,0:0,0:2,0:1,0:0,0:0,4606
0:0,7:4,35:25,2:4,0:0,4:6,17:14,1:1,7:6,0:1,8:7,0:0,6:2,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4606
3:5,2:1,3:1,14:4,2:2,3:3,49:32,10:6,8:7,8:4,10:5,1:0,5:10,0:0,0:0,0:2,0:0,3:1,1:0,0:2,0:0,1:0,6:5,0:0,2:1,0:0,4606
12:6,45:33,3:4,17:11,1:0,4:4,34:31,6:1,0:0,1:0,17:16,1:1,2:2,1:0,1:0,0:1,0:0,1:0,3:4,0:0,0:0,0:0,0:0,1:1,1:0,0:0,4606
4:3,0:2,30:16,2:0,0:0,5:1,0:0,0:0,0:2,0:0,0:0,0:0,2:3,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4604
53:29,12:15,4:5,21:24,23:12,5:2,1:2,0:1,1:3,0:0,1:2,0:0,4:4,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,4604
1:2,2:2,3:0,1:0,0:0,0:1,0:2,0:0,0:0,0:0,1:0,1:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4603
0:3,31:19,2:2,4:3,2:0,2:0,8:7,4:3,1:1,4:5,11:11,0:1,3:3,0:0,0:0,0:1,0:1,3:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4498
2:1,48:36,3:1,1:3,5:3,0:0,31:17,7:5,1:0,0:0,3:4,0:0,12:6,4:2,1:3,0:0,1:0,1:0,0:0,0:0,0:0,1:0,0:1,0:0,0:1,0:0,4603
3:1,2:0,4:0,4:1,0:0,0:1,2:1,0:0,1:1,2:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,1:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4602
0:5,26:30,12:5,2:2,2:1,14:6,15:15,12:17,2:3,0:7,57:37,3:0,3:2,0:1,0:0,0:2,0:0,2:2,8:10,0:0,0:1,6:5,1:1,8:2,0:1,0:1,4602
8:5,34:28,11:6,9:11,5:9,1:4,10:14,87:54,1:4,9:7,18:22,2:0,6:5,8:3,1:2,2:2,0:3,18:11,7:3,0:0,0:1,0:2,3:1,3:3,0:2,0:0,4602
1:6,0:0,0:0,0:0,0:0,45:31,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:1,4601
1:0,3:1,0:0,0:0,0:0,0:1,3:1,0:0,0:0,0:0,2:0,0:0,3:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4600
0:1,0:1,40:18,0:0,0:0,4:4,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:1,0:0,0:0,4600
2:0,0:0,58:40,2:1,0:0,1:0,4:7,0:0,4:2,0:0,0:2,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:1,6:2,0:0,0:1,0:0,0:0,0:0,0:0,4600
6:9,5:5,4:4,1:4,0:1,12:8,10:9,2:3,3:3,5:3,3:7,5:1,0:2,0:1,0:0,1:0,0:1,37:21,1:2,0:1,0:0,1:1,1:1,0:1,0:0,0:0,4140
2:3,11:9,2:1,0:0,0:1,0:0,5:4,15:9,1:0,3:4,7:7,0:0,2:3,0:1,0:0,0:0,0:0,4:4,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4598
96:58,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4598
11:3,0:1,0:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,3:1,0:0,0:0,0:0,0:0,0:0,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4597
3:0,5:5,49:26,4:4,3:0,4:5,3:5,0:1,11:10,1:1,1:4,0:0,1:0,0:0,0:0,0:0,0:0,0:1,4:2,3:3,0:0,0:1,0:1,0:0,0:0,0:0,4596
35:17,2:1,2:3,4:6,0:0,1:2,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4594
2:2,1:0,65:46,2:1,2:1,43:27,9:9,0:0,3:4,6:2,0:0,4:4,4:4,0:0,1:0,2:2,0:0,0:1,6:4,1:1,0:1,3:2,0:0,0:0,0:0,0:0,4593
0:0,0:1,40:27,4:0,0:0,6:7,0:0,0:0,5:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,4591
17:7,9:7,4:4,4:6,1:1,9:6,9:6,9:5,1:2,11:6,4:3,4:0,5:2,0:0,2:2,1:2,0:1,22:7,4:7,1:0,0:0,0:0,1:0,0:1,0:2,0:0,4591
10:8,43:30,8:4,4:2,1:1,2:6,8:10,32:16,2:0,21:14,6:7,0:1,4:3,0:0,0:0,0:1,0:1,3:3,3:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,4591
0:0,7:2,5:2,0:0,0:0,0:0,1:0,3:3,0:1,2:0,2:0,0:0,6:5,1:1,0:0,0:0,0:0,1:0,2:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,4590
0:0,0:1,16:17,0:1,1:1,11:4,0:1,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:1,0:0,1:0,0:0,0:0,0:0,0:0,4590
0:0,12:13,1:2,3:2,1:0,0:0,10:13,14:7,0:2,0:0,15:6,0:0,8:5,0:1,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,1:0,0:0,1:0,0:0,4589
0:0,84:46,0:1,5:8,21:12,0:1,1:0,10:18,0:2,1:2,6:7,1:0,27:18,3:5,0:0,2:5,2:1,1:0,3:4,0:1,0:0,0:1,9:6,1:1,3:2,0:0,4589
23:12,14:9,1:0,0:0,5:2,0:0,0:1,0:1,0:0,0:0,0:0,1:0,4:2,0:0,0:0,0:1,0:0,0:0,3:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4588
2:0,7:3,0:0,0:0,0:0,0:0,25:17,0:0,0:0,5:4,6:4,0:0,3:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,4587
0:0,0:2,5:6,13:9,0:1,0:1,21:15,1:1,0:0,10:3,6:2,1:1,4:3,0:0,1:0,0:1,0:0,3:3,0:2,0:0,0:0,0:0,0:1,1:1,0:0,0:0,4587
0:0,2:1,0:1,2:0,0:1,0:0,17:17,3:5,0:0,0:0,1:0,0:0,3:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,4586
1:0,8:7,0:1,0:1,1:0,1:0,3:3,10:3,0:0,3:2,5:1,0:0,9:3,0:0,1:0,0:0,0:0,1:1,1:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,4586
5:4,5:7,66:46,5:5,2:4,11:2,3:2,0:0,10:8,1:0,2:3,2:0,2:3,0:0,0:0,0:2,0:0,0:1,3:2,0:0,0:0,1:0,0:0,0:1,0:0,0:0,4586
9:7,0:2,88:58,2:3,2:1,5:8,0:2,3:5,11:8,0:0,1:1,0:0,1:2,0:0,0:0,0:1,0:0,0:1,1:3,0:0,0:0,1:1,0:0,0:0,0:0,0:0,4586
1:0,0:0,8:1,0:0,0:0,6:3,0:0,0:0,3:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,1:0,0:0,0:1,0:0,0:0,0:0,0:0,4585
